MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,MDX,18235,3969600
Acura,MDX,18236,2659000
Acura,MDX,18452,2875650
Acura,MDX,18496,3899700
Acura,MDX,18500,3522450
Acura,MDX,18538,2861000
Acura,MDX,18585,2589400
Acura,MDX,18587,2870600
Acura,MDX,18926,2979700
Acura,MDX,19357,3158300
Acura,MDX,19474,2820200
Acura,MDX,19789,3425150
Acura,MDX,19957,2618800
Acura,MDX,20036,2799500
Acura,MDX,20469,4328550
Acura,MDX,20720,3326150
Acura,MDX,20749,2644800
Acura,MDX,20754,2679500
Acura,MDX,20769,3079100
Acura,MDX,20902,2896400
Acura,MDX,20934,3039300
Acura,MDX,20948,3119400
Acura,MDX,21109,4050600
Acura,MDX,21247,3225850
Acura,MDX,21442,2890400
Acura,MDX,21494,2818700
Acura,MDX,21523,4152000
Acura,MDX,21670,2256700
Acura,MDX,21760,2396800
Acura,MDX,21854,2759400
Acura,MDX,21860,2950100
Acura,MDX,21879,4028000
Acura,MDX,22122,3257400
Acura,MDX,22177,2775950
Acura,MDX,22200,2851600
Acura,MDX,22204,3089600
Acura,MDX,22480,3377750
Acura,MDX,22577,2819400
Acura,MDX,22593,2070200
Acura,MDX,22610,2456800
Acura,MDX,22627,4244000
Acura,MDX,22713,3548400
Acura,MDX,22751,2941100
Acura,MDX,22874,2639100
Acura,MDX,23134,3221000
Acura,MDX,23222,2476500
Acura,MDX,23239,3873550
Acura,MDX,23257,3919400
Acura,MDX,23283,2397200
Acura,MDX,23732,2841600
Acura,MDX,23758,2890200
Acura,MDX,23904,3190400
Acura,MDX,23971,3804000
Acura,MDX,24123,3059900
Acura,MDX,24223,3349400
Acura,MDX,24283,2941300
Acura,MDX,24286,2730300
Acura,MDX,24473,2851500
Acura,MDX,24574,3848900
Acura,MDX,24614,3797800
Acura,MDX,24662,2658500
Acura,MDX,24790,3100400
Acura,MDX,25028,2973100
Acura,MDX,25251,2971000
Acura,MDX,25397,3476550
Acura,MDX,25522,2876650
Acura,MDX,25529,2891000
Acura,MDX,25539,2998700
Acura,MDX,25767,2690100
Acura,MDX,25773,2927650
Acura,MDX,25921,2799300
Acura,MDX,26087,2806900
Acura,MDX,26127,2286200
Acura,MDX,26206,4076750
Acura,MDX,26260,2798400
Acura,MDX,26536,2517000
Acura,MDX,26586,2709800
Acura,MDX,26630,2773250
Acura,MDX,26713,3450800
Acura,MDX,26719,2998900
Acura,MDX,26724,2398900
Acura,MDX,26758,2750200
Acura,MDX,26904,3100000
Acura,MDX,26911,2869100
Acura,MDX,26928,2916800
Acura,MDX,26962,2841100
Acura,MDX,26966,2181200
